root | manejo_posicion | 717 | INFO | 2023-04-10 18:42:57,750 | == RSI_TARGET1 55 ==
root | manejo_posicion | 721 | INFO | 2023-04-10 18:42:57,750 | == RSI_TARGET2 60 ==
root | manejo_posicion | 725 | INFO | 2023-04-10 18:42:57,751 | == RSI_TARGET3 65 ==
root | manejo_posicion | 818 | INFO | 2023-04-10 18:42:57,751 | == STOP LOSS 25 ==
root | market_data_quote_crypto | 476 | INFO | 2023-04-10 18:43:00,272 | BTC/USD@29288.4502246
root | market_data_quote_crypto | 476 | INFO | 2023-04-10 18:43:03,343 | BTC/USD@29288.4502246
root | estrategia_RSI | 421 | INFO | 2023-04-10 18:43:03,347 |  HOLD or WAIT RSI
root | manejo_posicion | 699 | INFO | 2023-04-10 18:43:03,347 | == UPDATE POSICION ==
root | manejo_posicion | 701 | INFO | 2023-04-10 18:43:03,348 | == CONTRATOS EN MANO 0 ==
root | manejo_posicion | 705 | INFO | 2023-04-10 18:43:03,348 | == Comprado? False ==
root | manejo_posicion | 709 | INFO | 2023-04-10 18:43:03,348 | == RSI_ACTUAL 61.52162118934292 ==
root | manejo_posicion | 713 | INFO | 2023-04-10 18:43:03,348 | == RSI_STOPLOSS 25 ==
root | manejo_posicion | 717 | INFO | 2023-04-10 18:43:03,348 | == RSI_TARGET1 55 ==
root | manejo_posicion | 721 | INFO | 2023-04-10 18:43:03,348 | == RSI_TARGET2 60 ==
root | manejo_posicion | 725 | INFO | 2023-04-10 18:43:03,348 | == RSI_TARGET3 65 ==
root | manejo_posicion | 818 | INFO | 2023-04-10 18:43:03,348 | == STOP LOSS 25 ==
root | market_data_quote_crypto | 476 | INFO | 2023-04-10 18:43:05,865 | BTC/USD@29280.12
root | market_data_quote_crypto | 476 | INFO | 2023-04-10 18:43:08,928 | BTC/USD@29280.12
root | estrategia_RSI | 421 | INFO | 2023-04-10 18:43:08,933 |  HOLD or WAIT RSI
root | manejo_posicion | 699 | INFO | 2023-04-10 18:43:08,933 | == UPDATE POSICION ==
